x_px,y_px
1351,987
1331,984
1311,979
1291,975
1271,972
1251,969
1231,965
1211,962
1192,955
1174,946
1156,937
1138,927
1120,917
1102,907
1084,898
1066,888
1048,879
1030,869
1012,859
994,850
976,841
958,832
940,823
922,814
902,810
883,802
863,797
843,792
824,784
804,778
784,772
764,769
744,766
725,759
705,755
685,750
666,743
648,732
633,717
618,702
603,687
588,672
573,657
560,641
549,624
549,604
550,584
557,565
566,547
578,531
593,517
610,505
627,494
645,484
662,473
681,465
697,453
713,440
729,427
746,415
762,402
778,390
794,377
811,366
829,357
847,346
863,334
883,334
903,334
923,334
943,334
963,334
983,334
1003,334
1023,334
1043,334
1063,334
1083,334
1102,341
1115,357
1126,375
1138,391
1148,409
1156,428
1165,446
1173,465
1183,483
1192,502
1204,519
1207,539
1207,559
1207,579
1207,599
1207,619
1207,639
1207,659
1209,679
1216,699
1234,709
1254,704
1270,691
1280,673
1287,654
1297,636
1297,616
1297,596
1297,576
1297,556
1297,536
1297,516
1297,496
1297,476
1297,456
1297,436
1297,416
1296,396
1295,376
1295,356
1294,336
1293,316
1290,296
1287,276
1281,256
1274,236
1266,217
1254,201
1239,186
1223,174
1205,164
1186,156
1166,156
1146,156
1126,156
1106,156
1086,156
1066,156
1046,156
1026,156
1006,156
986,156
966,156
947,163
930,174
912,185
895,196
877,206
860,218
843,229
828,244
810,254
791,262
772,271
753,279
734,288
715,296
696,304
677,312
658,320
640,329
621,337
602,345
584,354
566,363
548,372
530,382
511,390
493,400
475,409
458,420
441,432
426,447
411,462
396,477
382,492
370,508
359,525
348,543
338,561
327,578
316,596
306,614
298,633
297,653
297,673
297,693
297,713
298,733
303,753
311,772
321,790
336,805
354,816
373,824
392,832
411,840
430,847
449,854
467,863
487,870
506,877
525,885
542,896
562,901
581,910
601,916
619,925
639,932
658,940
677,947
696,955
715,963
735,970
754,978
773,987
793,994
812,1001
831,1009
849,1018
869,1025
889,1032
908,1039
923,1053
938,1068
953,1083
968,1098
983,1113
998,1128
1012,1144
1017,1164
1014,1184
1010,1204
1005,1224
1000,1244
994,1264
988,1284
985,1304
985,1324
985,1344
985,1364
985,1384
985,1404
985,1424
985,1444
985,1464
985,1484
985,1504
985,1524
985,1544
987,1564
995,1583
1002,1602
1015,1618
1030,1633
1045,1648
1060,1663
1075,1678
1090,1693
1105,1707
1121,1720
1138,1731
1156,1741
1175,1750
1194,1758
1213,1765
1232,1772
1250,1781
1270,1787
1288,1798
1307,1806
1325,1815
1345,1820
1365,1820
1385,1820
1405,1818
1425,1816
1445,1814
1465,1811
1485,1809
1505,1807
1525,1806
1545,1803
1563,1794
1575,1778
1586,1760
1593,1741
1600,1722
1608,1703
1616,1684
1625,1666
1632,1647
1641,1629
1650,1611
1657,1592
1664,1572
1672,1553
1679,1534
1687,1515
1696,1497
1702,1477
1710,1458
1720,1440
1729,1422
1739,1404
1741,1384
1741,1364
1741,1344
1740,1324
1736,1304
1729,1284
1719,1266
1708,1249
1693,1234
1678,1219
1661,1208
1644,1197
1626,1186
1608,1175
1589,1166
1571,1156
1554,1145
1535,1137
1519,1125
1500,1118
1482,1109
1467,1095
1452,1080
1437,1065
1421,1051
1405,1038
1387,1027
1384,1024
