x,y
31.444,-39.56
32.276,-40.426
32.883,-41.463
33.705,-42.338
34.809,-42.811
35.727,-43.587
36.542,-42.704
37.45,-43.491
38.421,-44.198
39.62,-44.14
40.533,-44.921
40.944,-46.049
41.795,-46.898
42.996,-46.936
44.147,-46.595
45.132,-47.283
45.633,-48.374
45.564,-49.573
46.666,-50.053
47.131,-51.16
47.489,-52.307
48.376,-53.117
48.445,-54.316
47.877,-55.375
47.955,-56.573
47.776,-57.761
48.237,-58.87
48.776,-59.944
47.751,-60.57
47.741,-61.771
47.148,-62.815
46.089,-63.384
45.504,-64.432
45.618,-65.628
45.322,-66.792
44.266,-67.366
44.711,-68.481
43.664,-69.07
44.105,-70.188
43.068,-70.794
42.344,-71.753
43.051,-72.723
42.44,-73.757
41.264,-74.004
40.604,-75.007
40.731,-76.202
40.469,-77.374
40.347,-78.569
39.25,-79.059
38.363,-79.869
37.162,-79.9
35.968,-79.77
34.768,-79.814
33.591,-80.052
32.573,-80.69
31.438,-80.297
30.241,-80.191
29.04,-80.195
27.842,-80.1
27.15,-79.118
25.949,-79.142
24.755,-79.268
23.592,-78.968
22.398,-78.836
21.349,-78.249
20.156,-78.386
19.351,-77.494
18.151,-77.468
17.311,-76.609
16.329,-75.917
15.128,-75.929
14.483,-74.737
13.724,-73.806
12.631,-73.309
11.919,-72.341
12.089,-71.152
11.082,-70.497
10.492,-69.451
9.653,-68.591
8.905,-67.651
8.065,-66.792
8.544,-65.691
8.514,-64.49
8.232,-63.322
8.321,-62.124
8.048,-60.955
9.046,-60.286
8.503,-59.214
9.048,-58.143
9.407,-56.997
10.526,-56.56
10.553,-55.359
9.86,-54.378
10.68,-53.5
10.528,-52.309
11.065,-51.234
11.023,-50.034
11.806,-49.123
11.559,-47.947
12.592,-47.334
12.333,-46.161
11.747,-45.112
10.848,-44.316
9.836,-43.668
8.663,-43.412
7.772,-42.606
7.391,-41.467
6.191,-41.41
5.493,-40.433
4.359,-40.831
3.854,-39.741
2.761,-40.239
1.56,-40.26
1.006,-39.194
-0.175,-38.972
-0.888,-38.006
-1.942,-38.582
-2.971,-37.963
-4.133,-38.267
-5.303,-37.994
-5.284,-36.793
-6.204,-36.021
-7.314,-35.563
-8.4,-35.049
-9.595,-35.174
-10.053,-34.064
-11.253,-34.122
-12.142,-34.93
-12.993,-34.082
-13.741,-33.142
-14.841,-32.659
-15.927,-32.147
-17.075,-31.791
-18.175,-31.308
-19.082,-32.095
-20.766,-31.735
-21.638,-30.909
-22.839,-30.941
-23.037,-29.757
-23.454,-28.63
-24.29,-27.768
-25.433,-27.397
-25.529,-26.199
-26.364,-25.336
-25.485,-24.517
-25.33,-23.326
-24.922,-22.196
-24.7,-21.015
-24.976,-19.847
-24.462,-18.761
-23.807,-17.754
-23.855,-16.554
-23.809,-15.354
-22.8,-14.702
-21.675,-14.28
-21.377,-13.117
-20.535,-12.261
-19.968,-11.201
-18.911,-10.631
-18.833,-9.432
-17.94,-8.629
-16.744,-8.52
-15.661,-8.001
-14.475,-7.809
-14.066,-6.68
-12.872,-6.543
-12.073,-5.647
-10.895,-5.88
-10.133,-4.952
-9.04,-4.455
-7.839,-4.418
-6.97,-3.589
-6.564,-2.458
-5.401,-2.159
-4.203,-2.063
-3.082,-1.631
-1.892,-1.468
-0.739,-1.132
0.264,-0.471
1.45,-0.281
2.269,0.598
3.47,0.561
4.6,0.97
5.107,2.058
6.257,2.406
7.448,2.563
8.639,2.716
9.781,3.09
10.638,3.931
11.788,3.586
12.546,4.518
13.737,4.365
14.932,4.24
16.118,4.426
17.309,4.585
18.503,4.719
19.703,4.671
20.822,4.234
22.014,4.382
23.179,4.675
24.005,3.803
24.73,2.845
25.434,1.872
24.922,0.785
25.975,0.206
26.088,-0.99
25.313,-1.909
26.113,-2.805
26.705,-3.85
25.921,-4.76
26.161,-5.937
27.188,-6.56
27.662,-7.664
26.936,-8.621
26.277,-9.626
26.102,-10.814
27.211,-11.275
27.028,-12.462
26.089,-13.211
25.73,-14.357
26.618,-15.166
26.3,-16.325
25.483,-17.205
25.876,-18.341
26.684,-19.229
26.787,-20.426
25.654,-20.825
25.5,-22.016
24.997,-23.107
23.822,-23.356
23.798,-24.557
23.172,-25.582
22.159,-24.938
21.057,-24.46
19.963,-23.963
18.984,-23.268
19.862,-22.786
20.171,-21.625
19.498,-20.63
18.814,-19.643
19.852,-19.039
19.273,-17.987
19.151,-16.792
20.4,-16.105
20.071,-14.95
19.125,-14.209
18.978,-13.017
19.878,-12.222
19.062,-11.341
19.294,-10.163
18.168,-9.746
18.048,-8.269
16.926,-7.199
17.049,-6.004
17.544,-4.909
16.794,-3.971
15.594,-4.026
14.41,-3.82
13.215,-3.935
12.088,-4.352
10.949,-5.124
9.757,-5.274
8.574,-5.064
7.026,-4.517
5.95,-5.051
4.874,-5.586
4.049,-6.459
3.132,-5.683
1.938,-5.809
1.276,-6.812
0.593,-7.8
-0.267,-8.638
-0.962,-7.658
-2.012,-8.241
-3.105,-8.74
-3.278,-9.929
-4.327,-10.515
-5.501,-10.769
-6.608,-11.234
-7.612,-11.894
-8.555,-12.638
-9.646,-12.135
-10.552,-12.924
-11.333,-14.723
-12.058,-15.681
-12.699,-16.697
-13.531,-17.563
-13.063,-18.669
-12.343,-19.631
-12.541,-20.816
-11.357,-21.02
-11.269,-22.218
-10.068,-22.267
-9.357,-23.235
-8.159,-23.156
-7.193,-23.87
-6.077,-24.316
-5.143,-25.07
-3.978,-25.363
-2.801,-25.12
-1.601,-25.088
-0.442,-25.404
0.358,-26.3
1.503,-26.664
2.277,-25.746
3.454,-25.989
3.832,-27.129
5.018,-27.32
6.213,-27.44
6.956,-28.384
8.155,-28.302
9.354,-28.231
9.703,-29.381
10.342,-30.398
11.54,-30.298
12.663,-30.723
13.222,-31.786
14.376,-32.119
15.504,-32.53
16.705,-32.557
17.254,-33.625
18.35,-34.116
19.081,-33.163
20.012,-33.922
21.035,-34.552
21.532,-35.646
22.159,-36.67
23.36,-36.644
24.716,-37.592
25.708,-36.916
26.139,-38.037
27.195,-38.609
27.84,-38.959
